단지고유번호,필지고유번호,주소,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류,동수,세대수,사용승인일
41271320414405,4127110100100830000,경기도 안산상록구 일동 83,한샘빌,한샘빌,한샘빌,3,1,8,2020-11-13
41271320314118,4127110100100830001,경기도 안산상록구 일동 83-1,로젠하임,,,3,1,10,2015-04-10
41271320182142,4127110100100830002,경기도 안산상록구 일동 83-2,노블시티,,,3,1,8,2013-08-19
41271320277843,4127110100100830003,경기도 안산상록구 일동 83-3,묵산트윈풍경채,묵산트윈풍경채,묵산트윈풍경채,3,2,24,2013-11-22
41271320136549,4127110100100840000,경기도 안산상록구 일동 84,대한아트빌(84),대한아트빌,대한아트빌,3,1,8,2011-04-21
41271320279085,4127110100100840002,경기도 안산상록구 일동 84-2,현진센스빌A동,현진센스빌 1동,현진센스빌 1동,3,1,8,2013-12-20
41271320278791,4127110100100840003,경기도 안산상록구 일동 84-3,현진센스빌B동,현진센스빌 2동,현진센스빌 2동,3,1,8,2013-12-20
41271320316406,4127110100100840006,경기도 안산상록구 일동 84-6,(84-6),,,3,1,10,2015-04-27
41271320443274,4127110100100840010,경기도 안산상록구 일동 84-10,대현그랑시아4차A동,대현그랑시아,대현그랑시아,3,1,8,2023-03-24
41271320443339,4127110100100840011,경기도 안산상록구 일동 84-11,대현그랑시아4차B동,대현그랑시아,대현그랑시아,3,1,4,2023-03-28
41271312168172,4127110100100850000,경기도 안산상록구 일동 85,인성주택,,,3,1,11,2003-01-24
41271320433929,4127110100100850004,경기도 안산상록구 일동 85-4,은성빌,은성빌,은성빌,3,1,4,2022-04-27
41271320330084,4127110100100850008,경기도 안산상록구 일동 85-8,(85-8),,,3,1,8,2015-12-29
41271320330085,4127110100100850010,경기도 안산상록구 일동 85-10,라이프하우스,,,3,1,16,2015-12-22
41271320299414,4127110100100860000,경기도 안산상록구 일동 86,풍경채,풍경채,풍경채,3,1,8,2014-09-26
41271320141306,4127110100100860001,경기도 안산상록구 일동 86-1,대가팰리스,대가팰리스,대가팰리스,3,1,8,2011-07-27
41271320293241,4127110100100860004,경기도 안산상록구 일동 86-4,모던캐슬,모던캐슬,모던캐슬,3,1,10,2014-06-19
41271320040935,4127110100100860005,경기도 안산상록구 일동 86-5,청록하이츠,청록하이츠,청록하이츠,3,1,6,2006-04-26
41271320438060,4127110100100860013,경기도 안산상록구 일동 86-13,서원럭스빌(86-13),,,3,1,6,2022-07-15
41271320347554,4127110100100860017,경기도 안산상록구 일동 86-17,서원럭스빌,서원럭스빌,서원럭스빌,3,1,8,2017-02-10
41271320349917,4127110100100870002,경기도 안산상록구 일동 87-2,리첸빌(RETCHENVILL),리첸빌,리첸빌,3,1,12,2017-04-20
41271320332122,4127110100100870008,경기도 안산상록구 일동 87-8,서원럭스빌,서원럭스빌,서원럭스빌,3,1,8,2016-02-05
41271320144019,4127110100100870010,경기도 안산상록구 일동 87-10,정상캐슬,정상캐슬,정상캐슬,3,1,8,2011-10-28
41271320331158,4127110100100870014,경기도 안산상록구 일동 87-14,서원럭스빌,서원럭스빌,서원럭스빌,3,1,8,2016-01-06
41271320069289,4127110100100880009,경기도 안산상록구 일동 88-9,삼성쉐르빌(88-9),삼성쉐르빌,삼성쉐르빌,3,1,4,2007-05-30
