단지고유번호,필지고유번호,주소,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류,동수,세대수,사용승인일,정제된_주소,lat,lon
41271320414405,4127110100100830000,경기도 안산상록구 일동 83,한샘빌,한샘빌,한샘빌,3,1,8,2020-11-13,경기도 안산상록구 일동 83,37.3145602,126.8700665
41271320314118,4127110100100830001,경기도 안산상록구 일동 83-1,로젠하임,,,3,1,10,2015-04-10,경기도 안산상록구 일동 83-1,37.3144858,126.8701626
41271320182142,4127110100100830002,경기도 안산상록구 일동 83-2,노블시티,,,3,1,8,2013-08-19,경기도 안산상록구 일동 83-2,37.3144258,126.8699992
41271320277843,4127110100100830003,경기도 안산상록구 일동 83-3,묵산트윈풍경채,묵산트윈풍경채,묵산트윈풍경채,3,2,24,2013-11-22,경기도 안산상록구 일동 83-3,37.3142825,126.8698257
41271320136549,4127110100100840000,경기도 안산상록구 일동 84,대한아트빌(84),대한아트빌,대한아트빌,3,1,8,2011-04-21,경기도 안산상록구 일동 84,37.3143806,126.8703488
41271320279085,4127110100100840002,경기도 안산상록구 일동 84-2,현진센스빌A동,현진센스빌 1동,현진센스빌 1동,3,1,8,2013-12-20,경기도 안산상록구 일동 84-2,37.3141974,126.8703657
41271320278791,4127110100100840003,경기도 안산상록구 일동 84-3,현진센스빌B동,현진센스빌 2동,현진센스빌 2동,3,1,8,2013-12-20,경기도 안산상록구 일동 84-3,37.3141061,126.8702559
41271320316406,4127110100100840006,경기도 안산상록구 일동 84-6,(84-6),,,3,1,10,2015-04-27,경기도 안산상록구 일동 84-6,37.3138321,126.8699265
41271320443274,4127110100100840010,경기도 안산상록구 일동 84-10,대현그랑시아4차A동,대현그랑시아,대현그랑시아,3,1,8,2023-03-24,경기도 안산상록구 일동 84-10,37.3140187,126.8699105
41271320443339,4127110100100840011,경기도 안산상록구 일동 84-11,대현그랑시아4차B동,대현그랑시아,대현그랑시아,3,1,4,2023-03-28,경기도 안산상록구 일동 84-11,37.3141184,126.8700389
41271312168172,4127110100100850000,경기도 안산상록구 일동 85,인성주택,,,3,1,11,2003-01-24,경기도 안산상록구 일동 85,37.3137153,126.8695484
41271320433929,4127110100100850004,경기도 안산상록구 일동 85-4,은성빌,은성빌,은성빌,3,1,4,2022-04-27,경기도 안산상록구 일동 85-4,37.3133374,126.8693318
41271320330084,4127110100100850008,경기도 안산상록구 일동 85-8,(85-8),,,3,1,8,2015-12-29,경기도 안산상록구 일동 85-8,37.3133395,126.8690921
41271320330085,4127110100100850010,경기도 안산상록구 일동 85-10,라이프하우스,,,3,1,16,2015-12-22,경기도 안산상록구 일동 85-10,37.3135761,126.8693772
41271320299414,4127110100100860000,경기도 안산상록구 일동 86,풍경채,풍경채,풍경채,3,1,8,2014-09-26,경기도 안산상록구 일동 86,37.3140895,126.8696023
41271320141306,4127110100100860001,경기도 안산상록구 일동 86-1,대가팰리스,대가팰리스,대가팰리스,3,1,8,2011-07-27,경기도 안산상록구 일동 86-1,37.3140269,126.8694995
41271320293241,4127110100100860004,경기도 안산상록구 일동 86-4,모던캐슬,모던캐슬,모던캐슬,3,1,10,2014-06-19,경기도 안산상록구 일동 86-4,37.3137425,126.8692004
41271320040935,4127110100100860005,경기도 안산상록구 일동 86-5,청록하이츠,청록하이츠,청록하이츠,3,1,6,2006-04-26,경기도 안산상록구 일동 86-5,37.3136686,126.8691093
41271320438060,4127110100100860013,경기도 안산상록구 일동 86-13,서원럭스빌(86-13),,,3,1,6,2022-07-15,경기도 안산상록구 일동 86-13,37.3137298,126.868844
41271320347554,4127110100100860017,경기도 안산상록구 일동 86-17,서원럭스빌,서원럭스빌,서원럭스빌,3,1,8,2017-02-10,경기도 안산상록구 일동 86-17,37.3139981,126.8693103
41271320349917,4127110100100870002,경기도 안산상록구 일동 87-2,리첸빌(RETCHENVILL),리첸빌,리첸빌,3,1,12,2017-04-20,경기도 안산상록구 일동 87-2,37.3131537,126.8685094
41271320332122,4127110100100870008,경기도 안산상록구 일동 87-8,서원럭스빌,서원럭스빌,서원럭스빌,3,1,8,2016-02-05,경기도 안산상록구 일동 87-8,37.3128686,126.8680522
41271320144019,4127110100100870010,경기도 안산상록구 일동 87-10,정상캐슬,정상캐슬,정상캐슬,3,1,8,2011-10-28,경기도 안산상록구 일동 87-10,37.3126766,126.8678041
41271320331158,4127110100100870014,경기도 안산상록구 일동 87-14,서원럭스빌,서원럭스빌,서원럭스빌,3,1,8,2016-01-06,경기도 안산상록구 일동 87-14,37.3122345,126.8671426
41271320069289,4127110100100880009,경기도 안산상록구 일동 88-9,삼성쉐르빌(88-9),삼성쉐르빌,삼성쉐르빌,3,1,4,2007-05-30,경기도 안산상록구 일동 88-9,37.3126953,126.8681931
41271312168173,4127110100100880012,경기도 안산상록구 일동 88-12,(88-12),,,3,1,14,2002-04-17,경기도 안산상록구 일동 88-12,37.3129366,126.868561
41271312168174,4127110100100880013,경기도 안산상록구 일동 88-13,도원아트빌,도원아트빌,도원아트빌,3,1,11,2002-04-25,경기도 안산상록구 일동 88-13,37.3130175,126.8686833
41271320099423,4127110100100890000,경기도 안산상록구 일동 89,대한아트빌(89-0),,,3,1,8,2008-08-22,경기도 안산상록구 일동 89,37.3124873,126.8678802
41271320312055,4127110100100890008,경기도 안산상록구 일동 89-8,다현아트빌,다현아트빌,다현아트빌,3,1,8,2015-01-15,경기도 안산상록구 일동 89-8,37.3120076,126.8671507
41271320348824,4127110100100890010,경기도 안산상록구 일동 89-10,서원럭스빌B,서원럭스빌,서원럭스빌,3,1,12,2017-03-27,경기도 안산상록구 일동 89-10,37.3121888,126.8674222
41271320348825,4127110100100890011,경기도 안산상록구 일동 89-11,서원럭스빌A,서원럭스빌,서원럭스빌,3,1,12,2017-03-27,경기도 안산상록구 일동 89-11,37.3123089,126.8676051
41271320390144,4127110100100900005,경기도 안산상록구 일동 90-5,(90-5),,,3,1,9,2019-06-05,경기도 안산상록구 일동 90-5,37.3110668,126.8680077
41271312168175,4127110100100900008,경기도 안산상록구 일동 90-8,거산아트빌,,,3,1,8,2002-07-11,경기도 안산상록구 일동 90-8,37.3109582,126.8678895
41271320091125,4127110100100910005,경기도 안산상록구 일동 91-5,하민하이츠빌,하민하이츠빌라,하민하이츠빌라,3,1,7,2008-05-09,경기도 안산상록구 일동 91-5,37.3109206,126.8675932
41271320360829,4127110100100910007,경기도 안산상록구 일동 91-7,정은타운(91-7),,,3,1,10,2018-02-13,경기도 안산상록구 일동 91-7,37.3107325,126.8677839
41271320126697,4127110100100910008,경기도 안산상록구 일동 91-8,묵산킹스빌B,묵산킹스빌B,묵산킹스빌B,3,1,8,2010-04-22,경기도 안산상록구 일동 91-8,37.3106377,126.8676406
41271320126644,4127110100100910009,경기도 안산상록구 일동 91-9,묵산킹스빌A,묵산킹스빌A,묵산킹스빌A,3,1,4,2010-04-21,경기도 안산상록구 일동 91-9,37.3107436,126.8675291
41271312168177,4127110100100910011,경기도 안산상록구 일동 91-11,정원빌라A(91-11),정원하이츠,정원하이츠,3,1,8,2002-04-17,경기도 안산상록구 일동 91-11,37.3109178,126.8673495
41271312168178,4127110100100910012,경기도 안산상록구 일동 91-12,정원빌라B(91-12),정원하이츠,정원하이츠,3,1,8,2002-04-30,경기도 안산상록구 일동 91-12,37.3110118,126.8672527
41271312168179,4127110100100920002,경기도 안산상록구 일동 92-2,일동하이츠빌라,,,3,1,10,2001-08-28,경기도 안산상록구 일동 92-2,37.3108939,126.8670339
41271312168180,4127110100100920003,경기도 안산상록구 일동 92-3,대원빌라,,,3,1,19,2001-10-30,경기도 안산상록구 일동 92-3,37.3107685,126.8671632
41271312168181,4127110100100920005,경기도 안산상록구 일동 92-5,오앤디빌,오앤디빌,오앤디빌,3,1,6,2002-08-26,경기도 안산상록구 일동 92-5,37.3105184,126.8674185
41271320358157,4127110100100920006,경기도 안산상록구 일동 92-6,엠(M)시티,엠(M)시티,엠(M)시티,3,1,8,2017-11-02,경기도 안산상록구 일동 92-6,37.3104422,126.8673027
41271312168182,4127110100100920007,경기도 안산상록구 일동 92-7,동현주택,,,3,1,8,2001-05-08,경기도 안산상록구 일동 92-7,37.3105647,126.8671736
41271320090879,4127110100100920010,경기도 안산상록구 일동 92-10,신화아트빌(92-10),,,3,1,6,2008-04-28,경기도 안산상록구 일동 92-10,37.3109407,126.8667855
41271320306735,4127110100100970000,경기도 안산상록구 일동 97,정인빌리지,정인빌리지,정인빌리지,3,1,8,2015-01-05,경기도 안산상록구 일동 97,37.3163047,126.8722913
41271320306717,4127110100100970001,경기도 안산상록구 일동 97-1,정인빌리지,정인빌리지,정인빌리지,3,1,8,2015-01-05,경기도 안산상록구 일동 97-1,37.3162093,126.8721246
41271320167357,4127110100100970002,경기도 안산상록구 일동 97-2,라임하우스A동,라임하우스,라임하우스,3,1,8,2012-12-27,경기도 안산상록구 일동 97-2,37.3161182,126.8719704
41271320167368,4127110100100970003,경기도 안산상록구 일동 97-3,라임하우스B동,라임하우스B동,라임하우스B동,3,1,8,2012-12-27,경기도 안산상록구 일동 97-3,37.3160229,126.871812
41271320293234,4127110100100970004,경기도 안산상록구 일동 97-4,퀸즈팰리스,퀸즈팰리스,퀸즈팰리스,3,1,8,2014-06-20,경기도 안산상록구 일동 97-4,37.3158819,126.8718952
41271320328870,4127110100100970007,경기도 안산상록구 일동 97-7,대풍아트빌,,,3,1,7,2015-11-18,경기도 안산상록구 일동 97-7,37.3160759,126.8722294
41271320288253,4127110100100980000,경기도 안산상록구 일동 98,우영캐슬B동,우영캐슬B동,우영캐슬B동,3,1,8,2014-04-30,경기도 안산상록구 일동 98,37.3161304,126.8727913
41271320181859,4127110100100980001,경기도 안산상록구 일동 98-1,신정홈타운,신정홈타운,신정홈타운,3,1,8,2013-08-06,경기도 안산상록구 일동 98-1,37.3162419,126.8729781
41271320288335,4127110100100980007,경기도 안산상록구 일동 98-7,우영캐슬A동,우영캐슬A동,우영캐슬A동,3,1,8,2014-04-30,경기도 안산상록구 일동 98-7,37.3160178,126.8728924
41271320285652,4127110100100990004,경기도 안산상록구 일동 99-4,트라움하우스A동,,,3,1,8,2014-02-13,경기도 안산상록구 일동 99-4,37.3158492,126.8736333
41271320285723,4127110100100990005,경기도 안산상록구 일동 99-5,트라움하우스B동,,,3,1,8,2014-02-13,경기도 안산상록구 일동 99-5,37.3157689,126.873497
41271320430667,4127110100100990006,경기도 안산상록구 일동 99-6,(99-6),,,3,1,6,2021-12-07,경기도 안산상록구 일동 99-6,37.3156859,126.8733563
41271320285899,4127110100101000002,경기도 안산상록구 일동 100-2,시온하우스,,,3,1,8,2014-02-17,경기도 안산상록구 일동 100-2,37.3156042,126.8736371
41271320432420,4127110100101000003,경기도 안산상록구 일동 100-3,The채움11차,,,3,1,4,2022-02-16,경기도 안산상록구 일동 100-3,37.3156855,126.873775
41271320071780,4127110100101010000,경기도 안산상록구 일동 101,신화아트빌,,,3,1,9,2007-08-24,경기도 안산상록구 일동 101,37.314709,126.8721698
41271320441756,4127110100101010002,경기도 안산상록구 일동 101-2,M포레스트(101-2),M포레스트,M포레스트,3,1,8,2023-01-04,경기도 안산상록구 일동 101-2,37.3149031,126.8724484
41271312168191,4127110100101010005,경기도 안산상록구 일동 101-5,(101-5),,,3,1,16,2001-03-19,경기도 안산상록구 일동 101-5,37.3150938,126.8727718
41271312168192,4127110100101010006,경기도 안산상록구 일동 101-6,(101-6),,,3,1,5,2001-12-19,경기도 안산상록구 일동 101-6,37.3151727,126.8729055
41271320171127,4127110100101010007,경기도 안산상록구 일동 101-7,골든캐슬101동(101-7),골든캐슬,골든캐슬,3,1,8,2013-01-11,경기도 안산상록구 일동 101-7,37.3152515,126.8730392
41271320171123,4127110100101010008,경기도 안산상록구 일동 101-8,골든캐슬102동(101-8),골든캐슬,골든캐슬,3,1,4,2013-01-11,경기도 안산상록구 일동 101-8,37.3153391,126.8731937
41271320293232,4127110100101020000,경기도 안산상록구 일동 102,대영맨션,대영맨션,대영맨션,3,1,8,2014-06-19,경기도 안산상록구 일동 102,37.3149668,126.8717887
41271312168193,4127110100101020007,경기도 안산상록구 일동 102-7,(102-7),,,3,1,8,2002-07-03,경기도 안산상록구 일동 102-7,37.3155565,126.8728039
41271320372551,4127110100101020008,경기도 안산상록구 일동 102-8,더빌,더빌,더빌,3,1,6,2018-06-20,경기도 안산상록구 일동 102-8,37.3156257,126.8729214
41271320286239,4127110100101020009,경기도 안산상록구 일동 102-9,에코타운A동,에코타운,에코타운,3,1,12,2014-03-05,경기도 안산상록구 일동 102-9,37.3154996,126.8730355
41271320286254,4127110100101020011,경기도 안산상록구 일동 102-11,에코타운B동,에코타운,에코타운,3,1,12,2014-03-05,경기도 안산상록구 일동 102-11,37.3153599,126.8728035
41271320360830,4127110100101020012,경기도 안산상록구 일동 102-12,늘봄하우스(102-12),,,3,1,9,2018-02-09,경기도 안산상록구 일동 102-12,37.3151941,126.8725225
41271320155533,4127110100101020017,경기도 안산상록구 일동 102-17,(102-17)청호나이스빌,,,3,1,7,2012-05-22,경기도 안산상록구 일동 102-17,37.3150626,126.8719663
41271320140742,4127110100101020019,경기도 안산상록구 일동 102-19,중앙,중앙빌라,중앙빌라,3,1,8,2011-07-07,경기도 안산상록구 일동 102-19,37.3148533,126.8719188
41271320297537,4127110100101030000,경기도 안산상록구 일동 103,뜨란체(103-0),,,3,1,8,2014-08-28,경기도 안산상록구 일동 103,37.315707,126.8720748
41271320154753,4127110100101030001,경기도 안산상록구 일동 103-1,(103-1)스타파크,,,3,1,8,2012-05-11,경기도 안산상록구 일동 103-1,37.3157861,126.8722052
41271320101693,4127110100101030002,경기도 안산상록구 일동 103-2,현영쉐르빌,,,3,1,8,2008-10-22,경기도 안산상록구 일동 103-2,37.3158648,126.8723386
41271320306242,4127110100101030003,경기도 안산상록구 일동 103-3,크리스탈타운(103-3),크리스탈타운,크리스탈타운,3,1,7,2014-12-18,경기도 안산상록구 일동 103-3,37.3159435,126.872472
41271320337384,4127110100101030006,경기도 안산상록구 일동 103-6,(103-6),,,3,1,8,2016-06-08,경기도 안산상록구 일동 103-6,37.3158306,126.872575
41271320181360,4127110100101040000,경기도 안산상록구 일동 104,블리스트리행복나무,행복나무,행복나무,3,1,7,2013-07-22,경기도 안산상록구 일동 104,37.3164311,126.8713873
41271320329078,4127110100101040001,경기도 안산상록구 일동 104-1,THELIFEHOUSE(104-1),,,3,1,16,2015-11-27,경기도 안산상록구 일동 104-1,37.3165271,126.8715493
