지점,지점명,일시,기온(°C),강수량(mm),적설(cm),시정(10m)
119,수원,2020-01-01 00:00,-6,,,2000
119,수원,2020-01-01 01:00,-6.3,,,1919
119,수원,2020-01-01 02:00,-6.2,,,1955
119,수원,2020-01-01 03:00,-5.8,0,,2000
119,수원,2020-01-01 04:00,-5.4,,,2000
119,수원,2020-01-01 05:00,-5.1,,,1880
119,수원,2020-01-01 06:00,-4.9,0,,2000
119,수원,2020-01-01 07:00,-4.7,,,2000
119,수원,2020-01-01 08:00,-4.5,,,2000
119,수원,2020-01-01 09:00,-3.9,,,2129
119,수원,2020-01-01 10:00,-3.5,,,1890
119,수원,2020-01-01 11:00,-3,,,1713
119,수원,2020-01-01 12:00,-2.5,,,1979
119,수원,2020-01-01 13:00,-1.5,,,1724
119,수원,2020-01-01 14:00,-.5,,,1385
119,수원,2020-01-01 15:00,0,,,1491
119,수원,2020-01-01 16:00,.2,,,1651
119,수원,2020-01-01 17:00,.1,,,1130
119,수원,2020-01-01 18:00,0,,,1121
119,수원,2020-01-01 19:00,-.1,,,730
119,수원,2020-01-01 20:00,-.3,,,933
119,수원,2020-01-01 21:00,0,,,1422
119,수원,2020-01-01 22:00,-.1,,,977
119,수원,2020-01-01 23:00,0,,,940
119,수원,2020-01-02 00:00,-.2,,,1127
119,수원,2020-01-02 01:00,-.2,,,1447
119,수원,2020-01-02 02:00,0,,,1335
119,수원,2020-01-02 03:00,0,,,1021
119,수원,2020-01-02 04:00,-.3,,,961
119,수원,2020-01-02 05:00,-.3,,,880
119,수원,2020-01-02 06:00,.1,,,962
119,수원,2020-01-02 07:00,.3,,,918
119,수원,2020-01-02 08:00,.1,,,877
119,수원,2020-01-02 09:00,.8,,,820
119,수원,2020-01-02 10:00,1.6,,,838
119,수원,2020-01-02 11:00,2.1,,,836
119,수원,2020-01-02 12:00,2.4,,,776
119,수원,2020-01-02 13:00,2.4,,,667
119,수원,2020-01-02 14:00,2.6,,,659
119,수원,2020-01-02 15:00,3,,,622
119,수원,2020-01-02 16:00,3.2,,,605
119,수원,2020-01-02 17:00,2.8,,,588
119,수원,2020-01-02 18:00,2.2,,,554
119,수원,2020-01-02 19:00,1,,,736
119,수원,2020-01-02 20:00,.8,,,664
119,수원,2020-01-02 21:00,.8,,,588
119,수원,2020-01-02 22:00,1.5,,,788
119,수원,2020-01-02 23:00,.8,,,628
119,수원,2020-01-03 00:00,1.1,,,862
119,수원,2020-01-03 01:00,.5,,,574
119,수원,2020-01-03 02:00,-.4,,,522
119,수원,2020-01-03 03:00,-1,,,492
119,수원,2020-01-03 04:00,-1.6,,,793
119,수원,2020-01-03 05:00,-2.3,,,799
119,수원,2020-01-03 06:00,-3.5,,,597
119,수원,2020-01-03 07:00,-3,,,802
119,수원,2020-01-03 08:00,-3.9,,,424
119,수원,2020-01-03 09:00,-2.5,,,566
119,수원,2020-01-03 10:00,.1,,,814
119,수원,2020-01-03 11:00,1.5,,,640
119,수원,2020-01-03 12:00,3.2,,,771
119,수원,2020-01-03 13:00,3.4,,,795
119,수원,2020-01-03 14:00,4.5,,,959
119,수원,2020-01-03 15:00,5.2,,,1410
119,수원,2020-01-03 16:00,4.4,,,1114
119,수원,2020-01-03 17:00,3.1,,,1241
119,수원,2020-01-03 18:00,1.5,,,1387
119,수원,2020-01-03 19:00,.8,,,1153
119,수원,2020-01-03 20:00,0,,,1239
119,수원,2020-01-03 21:00,-.7,,,775
119,수원,2020-01-03 22:00,-2.1,,,736
119,수원,2020-01-03 23:00,-2.1,,,711
119,수원,2020-01-04 00:00,-3.2,,,584
119,수원,2020-01-04 01:00,-3,,,597
119,수원,2020-01-04 02:00,-3.2,,,537
119,수원,2020-01-04 03:00,-2.9,,,622
119,수원,2020-01-04 04:00,-3.9,,,716
119,수원,2020-01-04 05:00,-4.3,,,896
119,수원,2020-01-04 06:00,-2.8,,,762
119,수원,2020-01-04 07:00,-1.7,,,763
119,수원,2020-01-04 08:00,-1.1,,,825
119,수원,2020-01-04 09:00,-.7,,,648
119,수원,2020-01-04 10:00,.8,,,748
119,수원,2020-01-04 11:00,2.8,,,938
119,수원,2020-01-04 12:00,4.8,,,1769
119,수원,2020-01-04 13:00,6.2,,,985
119,수원,2020-01-04 14:00,6.9,,,1095
119,수원,2020-01-04 15:00,7.4,,,1743
119,수원,2020-01-04 16:00,6.9,,,1219
119,수원,2020-01-04 17:00,5.3,,,1120
119,수원,2020-01-04 18:00,3.1,,,1399
119,수원,2020-01-04 19:00,2.3,,,1118
119,수원,2020-01-04 20:00,1,,,1131
119,수원,2020-01-04 21:00,1.7,,,1390
119,수원,2020-01-04 22:00,1.4,,,1825
119,수원,2020-01-04 23:00,1,,,1973
119,수원,2020-01-05 00:00,-.3,,,1707
119,수원,2020-01-05 01:00,-1.6,,,1536
119,수원,2020-01-05 02:00,-2.6,,,1376
119,수원,2020-01-05 03:00,-4.2,,,1121
119,수원,2020-01-05 04:00,-3.6,,,1168
119,수원,2020-01-05 05:00,-4.9,,,925
119,수원,2020-01-05 06:00,-4.7,,,934
119,수원,2020-01-05 07:00,-4.4,,,851
119,수원,2020-01-05 08:00,-5.5,,,783
119,수원,2020-01-05 09:00,-3.1,,,850
119,수원,2020-01-05 10:00,.5,,,784
119,수원,2020-01-05 11:00,2,,,844
119,수원,2020-01-05 12:00,4,,,1489
119,수원,2020-01-05 13:00,5.2,,,1489
119,수원,2020-01-05 14:00,5.7,,,1631
119,수원,2020-01-05 15:00,5.9,,,1685
119,수원,2020-01-05 16:00,6.2,,,1762
119,수원,2020-01-05 17:00,5.6,,,1670
119,수원,2020-01-05 18:00,3.3,,,1061
119,수원,2020-01-05 19:00,2.8,,,971
119,수원,2020-01-05 20:00,2.1,,,1209
119,수원,2020-01-05 21:00,.7,,,1029
119,수원,2020-01-05 22:00,-1,,,820
119,수원,2020-01-05 23:00,-1.3,,,756
119,수원,2020-01-06 00:00,-1.5,,,689
119,수원,2020-01-06 01:00,-.3,,,933
119,수원,2020-01-06 02:00,-.6,,,1050
119,수원,2020-01-06 03:00,1.8,,,1526
119,수원,2020-01-06 04:00,2.1,,,1445
119,수원,2020-01-06 05:00,2,,,1266
119,수원,2020-01-06 06:00,2,,,1149
119,수원,2020-01-06 07:00,2.3,,,1154
119,수원,2020-01-06 08:00,3.1,,,1161
119,수원,2020-01-06 09:00,3.3,0,,1042
119,수원,2020-01-06 10:00,4.1,,,1654
119,수원,2020-01-06 11:00,4.7,,,2048
119,수원,2020-01-06 12:00,4.3,.1,,1126
119,수원,2020-01-06 13:00,4.5,,,1635
119,수원,2020-01-06 14:00,4.1,,,1097
119,수원,2020-01-06 15:00,3.9,.4,,1050
119,수원,2020-01-06 16:00,3.9,,,1120
119,수원,2020-01-06 17:00,3.6,,,1010
119,수원,2020-01-06 18:00,3.8,.3,,1006
119,수원,2020-01-06 19:00,3.7,,,727
119,수원,2020-01-06 20:00,3.8,,,524
119,수원,2020-01-06 21:00,4.2,1,,516
119,수원,2020-01-06 22:00,4.3,,,403
119,수원,2020-01-06 23:00,4.6,,,488
119,수원,2020-01-07 00:00,4.9,2.1,,556
119,수원,2020-01-07 01:00,5.2,,,743
119,수원,2020-01-07 02:00,5.4,,,750
119,수원,2020-01-07 03:00,5.7,5.5,,738
119,수원,2020-01-07 04:00,5.7,,,825
119,수원,2020-01-07 05:00,5.8,,,728
119,수원,2020-01-07 06:00,6,9.3,,950
119,수원,2020-01-07 07:00,6.2,,,668
119,수원,2020-01-07 08:00,6.2,,,743
119,수원,2020-01-07 09:00,6.5,7.1,,742
119,수원,2020-01-07 10:00,6.7,,,794
119,수원,2020-01-07 11:00,7,,,967
119,수원,2020-01-07 12:00,7.3,3.8,,389
119,수원,2020-01-07 13:00,7.5,,,741
119,수원,2020-01-07 14:00,7.6,,,1124
119,수원,2020-01-07 15:00,7.7,3.4,,928
119,수원,2020-01-07 16:00,7.8,,,612
119,수원,2020-01-07 17:00,8,,,953
119,수원,2020-01-07 18:00,8.4,6.7,,934
