지점,지점명,일시,시정(10m)
119,수원,2021-01-01 00:00,1972
119,수원,2021-01-01 01:00,1939
119,수원,2021-01-01 02:00,1822
119,수원,2021-01-01 03:00,1932
119,수원,2021-01-01 04:00,1854
119,수원,2021-01-01 05:00,1848
119,수원,2021-01-01 06:00,1500
119,수원,2021-01-01 07:00,1234
119,수원,2021-01-01 08:00,1034
119,수원,2021-01-01 09:00,1027
119,수원,2021-01-01 10:00,1265
119,수원,2021-01-01 11:00,2000
119,수원,2021-01-01 12:00,1786
119,수원,2021-01-01 13:00,1930
119,수원,2021-01-01 14:00,1968
119,수원,2021-01-01 15:00,1964
119,수원,2021-01-01 16:00,1888
119,수원,2021-01-01 17:00,1707
119,수원,2021-01-01 18:00,1301
119,수원,2021-01-01 19:00,1027
119,수원,2021-01-01 20:00,811
119,수원,2021-01-01 21:00,670
119,수원,2021-01-01 22:00,675
119,수원,2021-01-01 23:00,711
119,수원,2021-01-02 00:00,1293
119,수원,2021-01-02 01:00,1998
119,수원,2021-01-02 02:00,2000
119,수원,2021-01-02 03:00,2000
119,수원,2021-01-02 04:00,2000
119,수원,2021-01-02 05:00,2000
119,수원,2021-01-02 06:00,2000
119,수원,2021-01-02 07:00,2000
119,수원,2021-01-02 08:00,2000
119,수원,2021-01-02 09:00,1999
119,수원,2021-01-02 10:00,1926
119,수원,2021-01-02 11:00,1810
119,수원,2021-01-02 12:00,1999
119,수원,2021-01-02 13:00,1985
119,수원,2021-01-02 14:00,2000
119,수원,2021-01-02 15:00,2000
119,수원,2021-01-02 16:00,1985
119,수원,2021-01-02 17:00,2000
119,수원,2021-01-02 18:00,1996
119,수원,2021-01-02 19:00,1950
119,수원,2021-01-02 20:00,2022
119,수원,2021-01-02 21:00,2029
119,수원,2021-01-02 22:00,2000
119,수원,2021-01-02 23:00,2000
119,수원,2021-01-03 00:00,2000
119,수원,2021-01-03 01:00,1998
119,수원,2021-01-03 02:00,2027
119,수원,2021-01-03 03:00,2000
119,수원,2021-01-03 04:00,2000
119,수원,2021-01-03 05:00,2000
119,수원,2021-01-03 06:00,2000
119,수원,2021-01-03 07:00,1998
119,수원,2021-01-03 08:00,1943
119,수원,2021-01-03 09:00,1825
119,수원,2021-01-03 10:00,1745
119,수원,2021-01-03 11:00,2000
119,수원,2021-01-03 12:00,1993
119,수원,2021-01-03 13:00,2000
119,수원,2021-01-03 14:00,2000
119,수원,2021-01-03 15:00,1994
119,수원,2021-01-03 16:00,1998
119,수원,2021-01-03 17:00,2000
119,수원,2021-01-03 18:00,1957
119,수원,2021-01-03 19:00,1988
119,수원,2021-01-03 20:00,2000
119,수원,2021-01-03 21:00,1996
119,수원,2021-01-03 22:00,2032
119,수원,2021-01-03 23:00,1751
119,수원,2021-01-04 00:00,1650
119,수원,2021-01-04 01:00,1997
119,수원,2021-01-04 02:00,1572
119,수원,2021-01-04 03:00,1849
119,수원,2021-01-04 04:00,1670
119,수원,2021-01-04 05:00,1887
119,수원,2021-01-04 06:00,1560
119,수원,2021-01-04 07:00,1825
119,수원,2021-01-04 08:00,1920
119,수원,2021-01-04 09:00,1635
119,수원,2021-01-04 10:00,1952
119,수원,2021-01-04 11:00,1970
119,수원,2021-01-04 12:00,1975
119,수원,2021-01-04 13:00,2000
119,수원,2021-01-04 14:00,1951
119,수원,2021-01-04 15:00,2000
119,수원,2021-01-04 16:00,1996
119,수원,2021-01-04 17:00,2000
119,수원,2021-01-04 18:00,1058
119,수원,2021-01-04 19:00,1821
119,수원,2021-01-04 20:00,1753
119,수원,2021-01-04 21:00,1742
119,수원,2021-01-04 22:00,1731
119,수원,2021-01-04 23:00,892
119,수원,2021-01-05 00:00,1512
119,수원,2021-01-05 01:00,1420
119,수원,2021-01-05 02:00,1366
119,수원,2021-01-05 03:00,1272
119,수원,2021-01-05 04:00,1176
119,수원,2021-01-05 05:00,1289
119,수원,2021-01-05 06:00,1052
119,수원,2021-01-05 07:00,1325
119,수원,2021-01-05 08:00,1911
119,수원,2021-01-05 09:00,1978
119,수원,2021-01-05 10:00,2000
119,수원,2021-01-05 11:00,1941
119,수원,2021-01-05 12:00,1974
119,수원,2021-01-05 13:00,1994
119,수원,2021-01-05 14:00,2000
119,수원,2021-01-05 15:00,2000
119,수원,2021-01-05 16:00,2000
119,수원,2021-01-05 17:00,2000
119,수원,2021-01-05 18:00,2000
119,수원,2021-01-05 19:00,2000
119,수원,2021-01-05 20:00,2000
119,수원,2021-01-05 21:00,2000
119,수원,2021-01-05 22:00,2000
119,수원,2021-01-05 23:00,1950
119,수원,2021-01-06 00:00,2000
119,수원,2021-01-06 01:00,2000
119,수원,2021-01-06 02:00,2000
119,수원,2021-01-06 03:00,2000
119,수원,2021-01-06 04:00,2000
119,수원,2021-01-06 05:00,2000
119,수원,2021-01-06 06:00,2000
119,수원,2021-01-06 07:00,2000
119,수원,2021-01-06 08:00,1812
119,수원,2021-01-06 09:00,2000
119,수원,2021-01-06 10:00,2000
119,수원,2021-01-06 11:00,2000
119,수원,2021-01-06 12:00,1994
119,수원,2021-01-06 13:00,2000
119,수원,2021-01-06 14:00,2000
119,수원,2021-01-06 15:00,1998
119,수원,2021-01-06 16:00,2000
119,수원,2021-01-06 17:00,2000
119,수원,2021-01-06 18:00,2000
119,수원,2021-01-06 19:00,2000
119,수원,2021-01-06 20:00,586
119,수원,2021-01-06 21:00,53
119,수원,2021-01-06 22:00,212
119,수원,2021-01-06 23:00,137
119,수원,2021-01-07 00:00,1050
119,수원,2021-01-07 01:00,1664
119,수원,2021-01-07 02:00,1722
119,수원,2021-01-07 03:00,1114
119,수원,2021-01-07 04:00,2000
119,수원,2021-01-07 05:00,1948
119,수원,2021-01-07 06:00,1988
119,수원,2021-01-07 07:00,1986
119,수원,2021-01-07 08:00,2000
119,수원,2021-01-07 09:00,1940
119,수원,2021-01-07 10:00,1955
119,수원,2021-01-07 11:00,1126
119,수원,2021-01-07 12:00,1998
119,수원,2021-01-07 13:00,2000
119,수원,2021-01-07 14:00,1943
119,수원,2021-01-07 15:00,1977
119,수원,2021-01-07 16:00,2032
119,수원,2021-01-07 17:00,2000
119,수원,2021-01-07 18:00,2000
119,수원,2021-01-07 19:00,2000
119,수원,2021-01-07 20:00,2000
119,수원,2021-01-07 21:00,2000
119,수원,2021-01-07 22:00,2000
119,수원,2021-01-07 23:00,2000
119,수원,2021-01-08 00:00,2000
119,수원,2021-01-08 01:00,2000
119,수원,2021-01-08 02:00,2000
119,수원,2021-01-08 03:00,2000
119,수원,2021-01-08 04:00,2000
119,수원,2021-01-08 05:00,2000
119,수원,2021-01-08 06:00,2000
119,수원,2021-01-08 07:00,2000
119,수원,2021-01-08 08:00,1955
119,수원,2021-01-08 09:00,1995
119,수원,2021-01-08 10:00,2000
119,수원,2021-01-08 11:00,1968
119,수원,2021-01-08 12:00,1989
119,수원,2021-01-08 13:00,2000
