CTY_CD , CTY_NM , TIME_CD , FORN_GB , M_10_CNT , M_15_CNT , M_20_CNT , M_25_CNT , M_30_CNT , M_35_CNT , M_40_CNT , M_45_CNT , M_50_CNT , M_55_CNT , M_60_CNT , M_65_CNT , M_70_CNT , F_10_CNT , F_15_CNT , F_20_CNT , F_25_CNT , F_30_CNT , F_35_CNT , F_40_CNT , F_45_CNT , F_50_CNT , F_55_CNT , F_60_CNT , F_65_CNT , F_70_CNT , ETL_YMD
41271,안산시 상록구,00,F,0.0,3.54,102.84,39.56,46.74,32.4,38.48,31.68,10.19,10.53,14.89,4.45,1.95,0.98,5.29,78.01,27.31,21.38,44.17,29.32,32.47,17.42,12.62,11.94,13.0,1.04,20250301
41271,안산시 상록구,00,F,0.96,9.38,162.28,51.12,58.83,42.56,26.92,25.38,14.13,24.61,12.73,9.11,1.01,0.0,16.03,174.26,63.12,13.55,31.69,23.78,33.39,18.25,13.69,18.63,15.84,2.11,20250305
41271,안산시 상록구,00,F,0.96,14.1,145.12,45.01,65.75,45.32,34.99,18.83,11.28,17.82,16.3,11.69,3.9,0.0,13.79,160.87,60.69,34.07,35.91,18.58,25.15,23.25,6.21,16.73,11.49,2.1,20250304
41271,안산시 상록구,00,F,0.98,12.47,147.01,54.62,68.02,44.87,28.48,26.08,18.1,16.25,13.74,6.12,2.49,0.98,24.41,193.28,58.17,28.45,35.79,34.75,23.74,19.58,12.28,25.39,13.5,4.89,20250307
41271,안산시 상록구,00,F,0.99,10.13,199.07,68.52,58.29,64.53,39.01,46.28,21.59,10.81,10.3,6.43,6.14,1.05,18.77,190.61,66.36,40.72,70.15,35.05,29.91,26.81,10.99,18.6,17.72,3.2,20250308
41271,안산시 상록구,00,F,0.99,10.37,164.37,68.15,73.78,76.07,51.1,33.81,31.24,11.53,19.8,10.39,5.21,4.13,19.82,222.41,85.78,43.79,71.68,41.23,35.67,29.42,24.4,24.04,17.54,4.92,20250318
41271,안산시 상록구,00,F,0.99,10.67,176.33,72.69,76.95,67.2,44.37,33.49,22.63,12.19,22.51,15.29,4.79,0.99,11.25,212.91,84.55,33.83,62.62,34.89,22.65,26.55,18.23,15.82,17.4,4.24,20250310
41271,안산시 상록구,00,F,0.99,11.27,174.9,53.42,73.02,51.65,45.6,31.39,23.1,17.88,18.45,9.57,5.21,3.04,12.57,196.19,81.98,26.94,53.72,38.06,35.08,22.99,27.62,23.8,9.07,2.64,20250314
41271,안산시 상록구,00,F,0.99,16.15,154.36,75.26,99.47,83.77,55.73,49.97,28.25,17.29,14.54,11.45,2.45,0.0,11.07,121.03,55.69,43.65,64.75,39.39,35.5,28.19,21.92,22.1,10.85,1.31,20250302
41271,안산시 상록구,00,F,1.04,24.04,188.45,74.71,80.64,75.91,64.63,37.61,32.8,25.51,15.33,14.17,4.27,5.86,25.37,234.05,94.91,61.06,78.04,44.89,42.21,25.56,16.05,29.33,21.63,6.61,20250321
