날짜,시간,요일,기온,강수량,적설,시정,시도,시군구,업종,주문건수
01-01,0,금요일,-8.7,0.0,0.0,1972,경기도,안산시 상록구,음식,46
01-01,1,금요일,-8.6,0.0,0.0,1939,경기도,안산시 상록구,음식,35
01-01,2,금요일,-9.8,0.0,0.0,1822,경기도,안산시 상록구,음식,20
01-01,10,금요일,-5.8,0.0,0.0,1265,경기도,안산시 상록구,음식,35
01-01,11,금요일,-3.8,0.0,0.0,2000,경기도,안산시 상록구,음식,52
01-01,12,금요일,-2.1,0.0,0.0,1786,경기도,안산시 상록구,음식,93
01-01,13,금요일,-0.7,0.0,0.0,1930,경기도,안산시 상록구,음식,62
01-01,14,금요일,-0.6,0.0,0.0,1968,경기도,안산시 상록구,음식,69
01-01,15,금요일,-0.5,0.0,0.0,1964,경기도,안산시 상록구,음식,82
01-01,16,금요일,-0.3,0.0,0.0,1888,경기도,안산시 상록구,음식,88
01-01,17,금요일,-1.0,0.0,0.0,1707,경기도,안산시 상록구,음식,156
01-01,18,금요일,-1.7,0.0,0.0,1301,경기도,안산시 상록구,음식,216
01-01,19,금요일,-2.4,0.0,0.0,1027,경기도,안산시 상록구,음식,189
01-01,20,금요일,-3.0,0.0,0.0,811,경기도,안산시 상록구,음식,151
01-01,21,금요일,-2.7,0.0,0.0,670,경기도,안산시 상록구,음식,143
01-01,22,금요일,-3.1,0.0,0.0,675,경기도,안산시 상록구,음식,105
01-01,23,금요일,-3.4,0.0,0.0,711,경기도,안산시 상록구,음식,88
01-02,0,토요일,-4.1,0.0,0.0,1293,경기도,안산시 상록구,음식,38
01-02,1,토요일,-4.0,0.0,0.0,1998,경기도,안산시 상록구,음식,37
01-02,2,토요일,-3.6,0.0,0.0,2000,경기도,안산시 상록구,음식,7
01-02,3,토요일,-4.7,0.0,0.0,2000,경기도,안산시 상록구,음식,2
01-02,10,토요일,-4.8,0.0,0.0,1926,경기도,안산시 상록구,음식,45
01-02,11,토요일,-4.0,0.0,0.0,1810,경기도,안산시 상록구,음식,88
01-02,12,토요일,-2.5,0.0,0.0,1999,경기도,안산시 상록구,음식,98
01-02,13,토요일,-1.6,0.0,0.0,1985,경기도,안산시 상록구,음식,88
01-02,14,토요일,-1.7,0.0,0.0,2000,경기도,안산시 상록구,음식,91
01-02,15,토요일,-1.0,0.0,0.0,2000,경기도,안산시 상록구,음식,72
01-02,16,토요일,-1.8,0.0,0.0,1985,경기도,안산시 상록구,음식,75
01-02,17,토요일,-2.4,0.0,0.0,2000,경기도,안산시 상록구,음식,165
01-02,18,토요일,-3.1,0.0,0.0,1996,경기도,안산시 상록구,음식,216
01-02,19,토요일,-3.7,0.0,0.0,1950,경기도,안산시 상록구,음식,191
01-02,20,토요일,-4.7,0.0,0.0,2022,경기도,안산시 상록구,음식,167
01-02,21,토요일,-5.0,0.0,0.0,2029,경기도,안산시 상록구,음식,155
01-02,22,토요일,-4.4,0.0,0.0,2000,경기도,안산시 상록구,음식,138
01-02,23,토요일,-5.3,0.0,0.0,2000,경기도,안산시 상록구,음식,84
01-03,0,일요일,-6.0,0.0,0.0,2000,경기도,안산시 상록구,음식,49
01-03,1,일요일,-6.7,0.0,0.0,1998,경기도,안산시 상록구,음식,28
01-03,2,일요일,-7.3,0.0,0.0,2027,경기도,안산시 상록구,음식,23
01-03,10,일요일,-4.5,0.0,0.0,1745,경기도,안산시 상록구,음식,46
01-03,11,일요일,-3.5,0.0,0.0,2000,경기도,안산시 상록구,음식,66
01-03,12,일요일,-2.2,0.0,0.0,1993,경기도,안산시 상록구,음식,92
01-03,13,일요일,-0.9,0.0,0.0,2000,경기도,안산시 상록구,음식,91
01-03,14,일요일,-0.8,0.0,0.0,2000,경기도,안산시 상록구,음식,84
01-03,15,일요일,-0.8,0.0,0.0,1994,경기도,안산시 상록구,음식,72
01-03,16,일요일,-1.2,0.0,0.0,1998,경기도,안산시 상록구,음식,88
01-03,17,일요일,-2.3,0.0,0.0,2000,경기도,안산시 상록구,음식,166
01-03,18,일요일,-3.3,0.0,0.0,1957,경기도,안산시 상록구,음식,183
01-03,19,일요일,-3.8,0.0,0.0,1988,경기도,안산시 상록구,음식,147
01-03,20,일요일,-4.3,0.0,0.0,2000,경기도,안산시 상록구,음식,101
01-03,21,일요일,-4.7,0.0,0.0,1996,경기도,안산시 상록구,음식,111
01-03,22,일요일,-5.8,0.0,0.0,2032,경기도,안산시 상록구,음식,79
01-03,23,일요일,-6.5,0.0,0.0,1751,경기도,안산시 상록구,음식,47
01-04,0,월요일,-7.9,0.0,0.0,1650,경기도,안산시 상록구,음식,30
01-04,1,월요일,-8.6,0.0,0.0,1997,경기도,안산시 상록구,음식,34
01-04,2,월요일,-8.6,0.0,0.0,1572,경기도,안산시 상록구,음식,15
01-04,10,월요일,-3.5,0.0,0.0,1952,경기도,안산시 상록구,음식,14
01-04,11,월요일,-2.8,0.0,0.0,1970,경기도,안산시 상록구,음식,75
01-04,12,월요일,-1.4,0.0,0.0,1975,경기도,안산시 상록구,음식,103
01-04,13,월요일,-0.7,0.0,0.0,2000,경기도,안산시 상록구,음식,62
01-04,14,월요일,0.1,0.0,0.0,1951,경기도,안산시 상록구,음식,68
01-04,15,월요일,0.4,0.0,0.0,2000,경기도,안산시 상록구,음식,46
01-04,16,월요일,0.0,0.0,0.0,1996,경기도,안산시 상록구,음식,53
01-04,17,월요일,-0.3,0.0,0.0,2000,경기도,안산시 상록구,음식,90
01-04,18,월요일,-1.5,0.0,0.0,1058,경기도,안산시 상록구,음식,138
01-04,19,월요일,-1.4,0.0,0.0,1821,경기도,안산시 상록구,음식,151
01-04,20,월요일,-1.2,0.0,0.0,1753,경기도,안산시 상록구,음식,111
01-04,21,월요일,-0.7,0.0,0.0,1742,경기도,안산시 상록구,음식,94
01-04,22,월요일,-0.7,0.0,0.0,1731,경기도,안산시 상록구,음식,67
01-04,23,월요일,-0.9,0.0,0.1,892,경기도,안산시 상록구,음식,46
01-05,0,화요일,-0.9,0.0,0.1,1512,경기도,안산시 상록구,음식,35
01-05,1,화요일,-0.9,0.0,0.0,1420,경기도,안산시 상록구,음식,17
01-05,2,화요일,-1.7,0.0,0.0,1366,경기도,안산시 상록구,음식,21
01-05,10,화요일,-4.0,0.0,0.0,2000,경기도,안산시 상록구,음식,35
01-05,11,화요일,-3.8,0.0,0.0,1941,경기도,안산시 상록구,음식,62
01-05,12,화요일,-3.6,0.0,0.0,1974,경기도,안산시 상록구,음식,109
01-05,13,화요일,-3.0,0.0,0.0,1994,경기도,안산시 상록구,음식,74
01-05,14,화요일,-2.8,0.0,0.0,2000,경기도,안산시 상록구,음식,57
01-05,15,화요일,-3.4,0.0,0.0,2000,경기도,안산시 상록구,음식,66
01-05,16,화요일,-3.5,0.0,0.0,2000,경기도,안산시 상록구,음식,49
01-05,17,화요일,-4.2,0.0,0.0,2000,경기도,안산시 상록구,음식,99
01-05,18,화요일,-5.4,0.0,0.0,2000,경기도,안산시 상록구,음식,167
01-05,19,화요일,-5.4,0.0,0.0,2000,경기도,안산시 상록구,음식,155
01-05,20,화요일,-6.3,0.0,0.0,2000,경기도,안산시 상록구,음식,117
01-05,21,화요일,-7.0,0.0,0.0,2000,경기도,안산시 상록구,음식,129
01-05,22,화요일,-7.7,0.0,0.0,2000,경기도,안산시 상록구,음식,99
01-05,23,화요일,-8.5,0.0,0.0,1950,경기도,안산시 상록구,음식,59
01-06,11,수요일,-6.3,0.0,0.0,2000,경기도,안산시 상록구,음식,51
01-06,12,수요일,-5.5,0.0,0.0,1994,경기도,안산시 상록구,음식,99
01-06,13,수요일,-4.4,0.0,0.0,2000,경기도,안산시 상록구,음식,66
01-06,14,수요일,-3.7,0.0,0.0,2000,경기도,안산시 상록구,음식,53
01-06,15,수요일,-3.2,0.0,0.0,1998,경기도,안산시 상록구,음식,41
01-06,16,수요일,-2.6,0.0,0.0,2000,경기도,안산시 상록구,음식,54
01-06,17,수요일,-3.2,0.0,0.0,2000,경기도,안산시 상록구,음식,102
01-06,18,수요일,-3.8,0.0,0.0,2000,경기도,안산시 상록구,음식,192
01-06,19,수요일,-3.9,0.0,0.0,2000,경기도,안산시 상록구,음식,142
01-06,20,수요일,-5.0,0.0,0.7,586,경기도,안산시 상록구,음식,3
01-07,10,목요일,-14.7,0.0,5.5,1955,경기도,안산시 상록구,음식,1
01-07,14,목요일,-12.3,0.0,4.5,1943,경기도,안산시 상록구,음식,9
01-07,15,목요일,-12.2,0.0,4.5,1977,경기도,안산시 상록구,음식,15
01-07,16,목요일,-12.1,0.0,4.4,2032,경기도,안산시 상록구,음식,20
01-07,17,목요일,-12.5,0.0,4.4,2000,경기도,안산시 상록구,음식,23
01-07,18,목요일,-13.7,0.0,4.2,2000,경기도,안산시 상록구,음식,1
01-07,19,목요일,-13.8,0.0,4.2,2000,경기도,안산시 상록구,음식,4
01-07,22,목요일,-14.7,0.0,3.9,2000,경기도,안산시 상록구,음식,2
01-08,10,금요일,-15.2,0.0,2.9,2000,경기도,안산시 상록구,음식,47
01-08,11,금요일,-14.5,0.0,2.9,1968,경기도,안산시 상록구,음식,26
01-08,12,금요일,-13.5,0.0,2.9,1989,경기도,안산시 상록구,음식,28
01-08,13,금요일,-12.7,0.0,2.9,2000,경기도,안산시 상록구,음식,23
01-08,14,금요일,-12.1,0.0,2.8,1948,경기도,안산시 상록구,음식,13
01-08,15,금요일,-10.9,0.0,2.8,1994,경기도,안산시 상록구,음식,12
01-08,16,금요일,-11.0,0.0,2.8,1916,경기도,안산시 상록구,음식,22
01-08,17,금요일,-11.2,0.0,2.8,2000,경기도,안산시 상록구,음식,32
01-08,18,금요일,-11.7,0.0,2.8,2000,경기도,안산시 상록구,음식,31
01-08,19,금요일,-12.6,0.0,2.8,1854,경기도,안산시 상록구,음식,30
01-08,20,금요일,-13.0,0.0,2.7,2000,경기도,안산시 상록구,음식,21
01-08,21,금요일,-13.6,0.0,2.6,2000,경기도,안산시 상록구,음식,16
01-08,22,금요일,-14.3,0.0,2.5,2000,경기도,안산시 상록구,음식,13
01-08,23,금요일,-14.3,0.0,2.5,1954,경기도,안산시 상록구,음식,5
01-09,11,토요일,-12.7,0.0,2.4,2000,경기도,안산시 상록구,음식,90
01-09,12,토요일,-10.7,0.0,2.4,1946,경기도,안산시 상록구,음식,110
01-09,13,토요일,-9.7,0.0,2.4,1865,경기도,안산시 상록구,음식,108
01-09,14,토요일,-8.9,0.0,2.4,1791,경기도,안산시 상록구,음식,95
01-09,15,토요일,-8.1,0.0,2.3,1960,경기도,안산시 상록구,음식,73
01-09,16,토요일,-8.1,0.0,2.3,1992,경기도,안산시 상록구,음식,119
01-09,17,토요일,-8.4,0.0,2.3,2000,경기도,안산시 상록구,음식,189
01-09,18,토요일,-9.3,0.0,2.3,2000,경기도,안산시 상록구,음식,277
01-09,19,토요일,-9.7,0.0,2.3,2000,경기도,안산시 상록구,음식,85
01-09,20,토요일,-10.4,0.0,2.3,2000,경기도,안산시 상록구,음식,27
01-09,21,토요일,-11.4,0.0,2.3,2000,경기도,안산시 상록구,음식,31
01-09,22,토요일,-11.4,0.0,2.3,2000,경기도,안산시 상록구,음식,12
01-09,23,토요일,-11.9,0.0,2.3,2000,경기도,안산시 상록구,음식,4
01-10,0,일요일,-12.5,0.0,2.3,2000,경기도,안산시 상록구,음식,6
01-10,10,일요일,-10.1,0.0,2.3,1371,경기도,안산시 상록구,음식,2
01-10,11,일요일,-7.8,0.0,2.3,1660,경기도,안산시 상록구,음식,110
01-10,12,일요일,-6.2,0.0,2.3,1881,경기도,안산시 상록구,음식,123
01-10,13,일요일,-5.0,0.0,2.2,1932,경기도,안산시 상록구,음식,127
01-10,14,일요일,-4.1,0.0,2.2,1933,경기도,안산시 상록구,음식,91
01-10,15,일요일,-3.5,0.0,2.2,2000,경기도,안산시 상록구,음식,82
01-10,16,일요일,-3.5,0.0,2.1,1940,경기도,안산시 상록구,음식,110
01-10,17,일요일,-3.6,0.0,2.1,1975,경기도,안산시 상록구,음식,188
01-10,18,일요일,-4.1,0.0,2.1,2000,경기도,안산시 상록구,음식,235
01-10,19,일요일,-4.2,0.0,2.1,2000,경기도,안산시 상록구,음식,177
01-10,20,일요일,-4.4,0.0,2.1,2000,경기도,안산시 상록구,음식,142
01-10,21,일요일,-4.7,0.0,2.1,2004,경기도,안산시 상록구,음식,120
01-10,22,일요일,-6.2,0.0,2.1,1973,경기도,안산시 상록구,음식,10
01-10,23,일요일,-7.5,0.0,2.1,1783,경기도,안산시 상록구,음식,3
01-11,0,월요일,-9.7,0.0,2.1,1568,경기도,안산시 상록구,음식,1
01-11,11,월요일,-6.7,0.0,2.1,879,경기도,안산시 상록구,음식,107
01-11,12,월요일,-5.7,0.0,2.1,1067,경기도,안산시 상록구,음식,78
01-11,13,월요일,-5.0,0.0,2.1,1254,경기도,안산시 상록구,음식,47
01-11,14,월요일,-4.6,0.0,2.1,1364,경기도,안산시 상록구,음식,55
01-11,15,월요일,-3.9,0.0,2.0,1338,경기도,안산시 상록구,음식,38
01-11,16,월요일,-3.9,0.0,2.0,1420,경기도,안산시 상록구,음식,44
01-11,17,월요일,-3.8,0.0,2.0,1574,경기도,안산시 상록구,음식,93
01-11,18,월요일,-4.4,0.0,2.0,1517,경기도,안산시 상록구,음식,178
01-11,19,월요일,-5.8,0.0,2.0,1199,경기도,안산시 상록구,음식,162
01-11,20,월요일,-6.4,0.0,2.0,1073,경기도,안산시 상록구,음식,114
01-11,21,월요일,-7.4,0.0,2.0,1281,경기도,안산시 상록구,음식,121
01-11,22,월요일,-7.1,0.0,2.0,1185,경기도,안산시 상록구,음식,72
01-11,23,월요일,-6.6,0.0,2.0,1273,경기도,안산시 상록구,음식,50
01-12,0,화요일,-6.7,0.0,2.0,949,경기도,안산시 상록구,음식,27
01-12,1,화요일,-7.1,0.0,2.0,875,경기도,안산시 상록구,음식,15
01-12,2,화요일,-7.3,0.0,2.0,786,경기도,안산시 상록구,음식,10
01-12,10,화요일,-4.8,0.0,2.0,810,경기도,안산시 상록구,음식,26
01-12,11,화요일,-3.1,0.0,1.9,948,경기도,안산시 상록구,음식,94
01-12,12,화요일,-1.8,0.0,1.9,1168,경기도,안산시 상록구,음식,108
01-12,13,화요일,-0.8,0.0,1.9,1023,경기도,안산시 상록구,음식,86
01-12,14,화요일,0.1,0.0,1.9,1050,경기도,안산시 상록구,음식,66
01-12,15,화요일,0.5,0.0,1.7,1062,경기도,안산시 상록구,음식,60
01-12,16,화요일,-0.8,0.0,2.9,71,경기도,안산시 상록구,음식,71
01-12,17,화요일,-0.5,0.0,4.2,369,경기도,안산시 상록구,음식,163
01-12,18,화요일,-0.7,1.2,4.7,560,경기도,안산시 상록구,음식,63
01-12,19,화요일,-0.4,0.0,4.7,381,경기도,안산시 상록구,음식,15
01-13,10,수요일,0.1,0.0,4.8,918,경기도,안산시 상록구,음식,4
01-13,11,수요일,2.6,0.0,4.6,729,경기도,안산시 상록구,음식,110
01-13,12,수요일,4.5,0.0,4.0,788,경기도,안산시 상록구,음식,68
01-13,13,수요일,6.7,0.0,1.4,848,경기도,안산시 상록구,음식,63
01-13,14,수요일,8.0,0.0,1.0,948,경기도,안산시 상록구,음식,64
01-13,15,수요일,8.6,0.0,0.0,1150,경기도,안산시 상록구,음식,39
01-13,16,수요일,8.2,0.0,0.0,1150,경기도,안산시 상록구,음식,60
01-13,17,수요일,7.6,0.0,0.0,1458,경기도,안산시 상록구,음식,118
01-13,18,수요일,6.4,0.0,0.0,1115,경기도,안산시 상록구,음식,189
01-13,19,수요일,5.7,0.0,0.0,857,경기도,안산시 상록구,음식,164
