카테고리,가게명,주소,정제된_주소,lat,lon
1인분 주문,바른보쌈1990-안산상록구점,"경기도 안산시 상록구 본오동 872-20 우성아파트 상가동 104,141호",경기도 안산시 상록구 본오동 872-20,37.2977001,126.8650771
1인분 주문,삼겹살의품격-상록점,경기도 안산시 상록구 본오동 888-17 102호,경기도 안산시 상록구 본오동 888-17,37.2930453,126.8600052
1인분 주문,혼밥도시락-본오동,경기도 안산시 상록구 본오동 668 668,경기도 안산시 상록구 본오동 668,37.2880923,126.8650492
1인분 주문,김밥천국-본오점,경기도 안산시 상록구 본오동 769-20 1층 일부 104호,경기도 안산시 상록구 본오동 769-20,37.2950172,126.87289
1인분 주문,삼겹플레이스-상록수점,경기도 안산시 상록구 본오동 872 월드아파트 상가3동 지층 B02호 일부,경기도 안산시 상록구 본오동 872,37.2998508,126.8651151
1인분 주문,본죽앤비빔밥-안산본오점,경기도 안산시 상록구 본오동 871-1 유경빌딩 103호,경기도 안산시 상록구 본오동 871-1,37.2966,126.8633807
1인분 주문,BRsingles-안산본오점,경기도 안산시 상록구 본오동 882-7 1층,경기도 안산시 상록구 본오동 882-7,37.293374,126.862522
1인분 주문,큰손닭강정-안산본오점,경기도 안산시 상록구 본오동 813-17 1층,경기도 안산시 상록구 본오동 813-17,37.2975079,126.8668905
1인분 주문,"요찌정,요기가찌개정말잘하는집-상록점",경기도 안산시 상록구 본오동 888-17 888-17 1층 102호,경기도 안산시 상록구 본오동 888-17,37.2930453,126.8600052
1인분 주문,본죽-안산본오1동점,경기도 안산시 상록구 본오동 870-9 1층,경기도 안산시 상록구 본오동 870-9,37.2933098,126.8644384
1인분 주문,빽다방-안산본오주공점,"경기도 안산시 상록구 본오동 879-1 웅진빌딩 879-1 웅진빌딩 105,106호",경기도 안산시 상록구 본오동 879-1,37.3007083,126.8630139
1인분 주문,김치찜어때-안산점,경기도 안산시 상록구 본오동 873-1 상경빌딩 지하1층 115호,경기도 안산시 상록구 본오동 873-1,37.3014246,126.8643357
1인분 주문,노브랜드버거-안산본오점,"경기도 안산시 상록구 본오동 872-11 대승프라자 103호 일부, 104호, 105호",경기도 안산시 상록구 본오동 872-11,37.2987654,126.8634859
1인분 주문,메가MGC커피-안산본오사거리점,경기도 안산시 상록구 본오동 813-11 1층 일부,경기도 안산시 상록구 본오동 813-11,37.2968542,126.8670789
1인분 주문,하이오커피-안산본오점,"경기도 안산시 상록구 본오동 871-5 우남빌딩 103, 104호",경기도 안산시 상록구 본오동 871-5,37.2958374,126.8633323
1인분 주문,맘스터치-안산본오점,경기도 안산시 상록구 본오동 879-2 동서빌딩 1층101나호,경기도 안산시 상록구 본오동 879-2,37.3004985,126.8630076
1인분 주문,로즈핀치,경기도 안산시 상록구 본오동 862-8 1층 일부호,경기도 안산시 상록구 본오동 862-8,37.2932837,126.8660408
1인분 주문,메가혼밥-상록점,경기도 안산시 상록구 본오동 888-17 102호,경기도 안산시 상록구 본오동 888-17,37.2930453,126.8600052
1인분 주문,BRsingles-안산상록수점,"경기도 안산시 상록구 본오동 873-5 서해프라자 873-5 서해프라자 1층 106, 107호",경기도 안산시 상록구 본오동 873-5,37.3013731,126.8659016
1인분 주문,메가토핑김치찜-상록점,경기도 안산시 상록구 본오동 888-17 888-17 1층 102호,경기도 안산시 상록구 본오동 888-17,37.2930453,126.8600052
1인분 주문,깨송송덮밥,경기도 안산시 상록구 본오동 668,경기도 안산시 상록구 본오동 668,37.2880923,126.8650492
1인분 주문,정우의덮밥&도시락-상록수점,경기도 안산시 상록구 본오동 872 월드아파트 상가3동 지층 B02호 일부,경기도 안산시 상록구 본오동 872,37.2998508,126.8651151
1인분 주문,본죽-안산상록수역점,경기도 안산시 상록구 본오동 872 월드아파트 1층 106호,경기도 안산시 상록구 본오동 872,37.2998508,126.8651151
1인분 주문,비빔밥입니다-상록점,경기도 안산시 상록구 본오동 888-17 102호,경기도 안산시 상록구 본오동 888-17,37.2930453,126.8600052
1인분 주문,리얼짜글이-상록점,경기도 안산시 상록구 본오동 888-17 888-17 1층 102호,경기도 안산시 상록구 본오동 888-17,37.2930453,126.8600052
1인분 주문,파스타집이야-안산상록수점,경기도 안산시 상록구 본오동 873-1 상경빌딩 상경빌딩B102호 (본오동),경기도 안산시 상록구 본오동 873-1,37.3014246,126.8643357
1인분 주문,덮밥집이야-상록수점,"경기도 안산시 상록구 본오동 873-1 상경빌딩 B102호 (본오동,상경빌딩)",경기도 안산시 상록구 본오동 873-1,37.3014246,126.8643357
1인분 주문,봉카츠-안산직영점,"경기도 안산시 상록구 본오동 872 월드아파트 상가3동 지B01호일부, B02호 일부(2호)",경기도 안산시 상록구 본오동 872,37.2998508,126.8651151
1인분 주문,희담김밥,경기도 안산시 상록구 본오동 885-6 885-6 105호,경기도 안산시 상록구 본오동 885-6,37.2921147,126.8626314
