CTY_CD,CTY_NM,TIME_CD,FORN_GB,M_10_CNT,M_15_CNT,M_20_CNT,M_25_CNT,M_30_CNT,M_35_CNT,M_40_CNT,M_45_CNT,M_50_CNT,M_55_CNT,M_60_CNT,M_65_CNT,M_70_CNT,F_10_CNT,F_15_CNT,F_20_CNT,F_25_CNT,F_30_CNT,F_35_CNT,F_40_CNT,F_45_CNT,F_50_CNT,F_55_CNT,F_60_CNT,F_65_CNT,F_70_CNT,ETL_YMD
41271,안산시 상록구,18,외국인,6.89,91.52,753.87,245.71,236.02,264.99,195.71,147.25,138.41,89.26,100.62,63.55,27.46,13.69,136.53,785.9,205.9,209.24,231.34,163.17,123.3,111.25,80.43,109.24,104.67,49.49,20230310
41271,안산시 상록구,10,내국인,1180.09,1360.41,2115.24,3133.81,2516.99,1908.44,2457.47,2980.69,3723.81,3907.82,3342.53,1874.64,882.85,1211.74,1262.17,1969.85,2269.02,2008.22,1716.27,2301.06,2907.49,3695.62,3439.92,2995.85,1805.21,1057.63,20230312
41271,안산시 상록구,6,외국인,5.1,20.66,204.64,123.8,156.17,174.02,131.98,97.66,104.36,64.94,63.5,53.05,10.21,5.17,39.5,216.29,102.75,95.89,123.22,97.77,78.54,65.29,64.9,56.35,64.85,20.48,20230312
41271,안산시 상록구,12,외국인,6.88,93.42,837.13,262.69,240.81,275.56,192.88,107.61,139.11,96.76,82.9,84.09,47.7,15.41,134.55,1059.22,230.17,243.49,243.79,203.09,155.44,121.68,74.5,112.92,94.03,30.97,20230328
41271,안산시 상록구,2,내국인,533.56,807.37,1536.87,1885.65,1419.55,1044.37,1391.35,1517.58,1713.64,1760.78,1563.25,820.91,405.12,512.73,719.47,1061.67,1164.82,938.2,851.54,1251.14,1351.11,1838.41,1605.17,1279.7,661.06,405.75,20230322
41271,안산시 상록구,20,외국인,6.77,80.67,729.7,306.87,252.71,283.21,238.26,152.54,167.03,101.34,53.19,85.18,29.05,13.64,101.51,778.39,262.56,227.0,215.16,225.9,145.39,126.57,84.03,111.15,92.17,30.79,20230329
41271,안산시 상록구,20,내국인,1166.46,2346.61,3042.52,3296.8,2449.57,1974.81,2354.65,2763.46,3420.67,3460.74,2615.39,1437.91,717.53,1187.13,1969.63,2435.54,2393.72,1843.96,1512.72,2361.79,2695.35,3279.83,2941.56,2306.7,1154.87,639.68,20230302
41273,안산시 단원구,21,외국인,10.69,40.03,360.69,603.17,807.64,795.69,603.73,394.23,417.97,357.53,171.88,89.01,29.43,11.82,41.55,274.55,301.58,463.92,525.91,460.38,378.54,305.74,205.96,218.17,110.26,40.83,20230301
41273,안산시 단원구,5,외국인,5.11,23.38,200.22,342.39,592.1,569.43,408.74,274.31,361.4,284.32,226.83,90.93,17.76,6.76,18.02,155.36,154.38,253.35,311.16,277.24,200.23,215.11,158.45,130.52,57.48,23.44,20230310
41273,안산시 단원구,16,외국인,15.25,77.58,464.01,770.74,1138.16,1063.01,870.7,594.15,688.76,484.02,364.76,151.14,74.11,22.43,35.36,366.5,444.98,709.32,962.71,724.82,509.09,481.76,385.04,300.63,128.66,82.51,20230322
41273,안산시 단원구,1,외국인,0.0,33.67,274.4,317.28,509.67,528.36,392.54,212.35,259.22,194.37,139.1,52.7,8.5,5.47,22.05,140.54,180.99,261.16,345.43,287.45,202.21,234.89,155.8,120.28,56.84,25.2,20230323
41271,안산시 상록구,17,내국인,1599.87,2177.95,2953.64,3584.39,2804.16,2325.3,2837.47,3019.33,4091.85,4181.06,3367.58,1751.63,897.14,1439.54,1721.65,2465.45,2668.25,2207.88,2014.64,2517.59,2986.07,3740.11,3375.95,2749.98,1656.85,899.76,20230305
41273,안산시 단원구,3,내국인,521.23,751.56,1388.83,1920.54,1647.58,1199.01,1336.82,1555.19,1656.61,1657.1,1554.12,833.8,447.71,522.34,763.94,1118.66,1431.39,1127.15,798.59,940.82,1175.92,1455.54,1380.21,1172.6,748.16,446.19,20230313
41273,안산시 단원구,20,외국인,6.78,37.98,509.62,902.06,1078.29,989.84,796.1,517.31,536.28,401.58,232.55,111.84,28.46,13.54,45.55,358.13,399.81,593.19,718.82,560.59,407.07,403.04,281.42,224.28,125.75,39.97,20230303
41271,안산시 상록구,6,내국인,598.74,841.09,1348.98,1746.0,1410.79,1097.81,1376.05,1642.81,2159.33,2102.49,1824.66,910.18,455.85,507.27,684.49,1021.53,1228.06,985.12,920.26,1324.97,1634.37,2045.87,1849.48,1611.3,921.86,488.97,20230308
41271,안산시 상록구,11,외국인,1.74,41.24,394.15,183.04,206.45,263.53,199.57,127.5,162.52,99.6,115.44,99.18,41.05,6.8,58.49,459.14,197.39,190.11,218.49,160.97,116.07,128.36,85.56,111.33,92.37,34.05,20230311
41271,안산시 상록구,1,내국인,653.44,1185.69,2145.18,2567.23,1865.24,1329.14,1577.47,1760.96,2155.17,2076.83,1723.46,918.93,445.02,587.66,883.49,1398.13,1698.21,1382.49,1068.75,1363.35,1627.2,2131.11,1670.64,1310.29,780.88,485.27,20230325
41271,안산시 상록구,2,외국인,1.71,10.33,156.69,94.4,95.97,109.29,75.06,52.87,61.26,56.13,30.83,46.08,17.09,1.73,30.93,199.06,77.02,78.86,102.6,98.96,78.84,51.21,44.48,39.49,41.14,11.94,20230302
