날짜,요일,시간,예측주문건수
2026-07-14,화요일,0,10.673017996133979
2026-07-14,화요일,1,7.16265679892466
2026-07-14,화요일,2,6.034198743583049
2026-07-14,화요일,3,1.4200458084131231
2026-07-14,화요일,4,1.4200458084131231
2026-07-14,화요일,5,1.4200458084131231
2026-07-14,화요일,6,1.4200458084131231
2026-07-14,화요일,7,1.4200458084131231
2026-07-14,화요일,8,1.4200458084131231
2026-07-14,화요일,9,1.4200458084131231
2026-07-14,화요일,10,12.259492199437544
2026-07-14,화요일,11,21.504574896674413
2026-07-14,화요일,12,31.82034474641571
2026-07-14,화요일,13,18.48012295065399
2026-07-14,화요일,14,16.844707127971116
2026-07-14,화요일,15,14.306663908748911
2026-07-14,화요일,16,18.714434658176295
2026-07-14,화요일,17,34.81430395805493
2026-07-14,화요일,18,54.55002744863871
2026-07-14,화요일,19,53.359796914503384
2026-07-14,화요일,20,44.23151841978569
2026-07-14,화요일,21,37.19249161700188
2026-07-14,화요일,22,27.14450206133155
2026-07-14,화요일,23,19.437486818225164
