카테고리,가게명,주소
프랜차이즈,맘스터치피자앤치킨-안산성포점,"경기도 안산시 상록구 성포동 593-25 105,106,111 일부호"
프랜차이즈,또래오래-안산중앙점,경기도 안산시 상록구 성포동 592-2 안산현대1차아파트 정문상가 112동 1층 102호
프랜차이즈,피자헛-안산성포점,"경기도 안산시 상록구 성포동 592-2 안산현대1차아파트 정문상가 592-2 안산현대1차아파트상가112동1층105호,에이호"
프랜차이즈,BHC-성포점,경기도 안산시 상록구 성포동 592-2 안산현대1차아파트 106동 상가111동 1층 c-1호
프랜차이즈,영구스피자-성포점,"경기도 안산시 상록구 성포동 592-2 안산현대1차아파트 상가동 592-2번지 현대1차상가111동 102,110호"
프랜차이즈,피나치공-안산성포점,경기도 안산시 상록구 성포동 593-17 성포타운 1층 122호
프랜차이즈,굽네치킨&피자-안산성포점,경기도 안산시 상록구 성포동 592-2 안산현대1차아파트 정문상가 112동 104호
프랜차이즈,도미노피자-안산성포점,경기도 안산시 상록구 성포동 593-25
프랜차이즈,기영이숯불두마리치킨-안산성포점,경기도 안산시 상록구 성포동 583-4 사이버스튜디오 106-1호
프랜차이즈,라멘선생-성포점,경기도 안산시 상록구 성포동 593-11 경동프라자 지하104호
프랜차이즈,배떡-성포점,경기도 안산시 상록구 성포동 592-2 안산현대1차아파트 상가동 111동 113호
프랜차이즈,피나치공뿌리공스-안산성포점,경기도 안산시 상록구 성포동 593-17 성포타운 1층 122호
프랜차이즈,돈기부여돈까스전문점-성포점,"경기도 안산시 상록구 성포동 593-17 성포타운 120,121호"
프랜차이즈,돈갓수제돈까스-성포점,경기도 안산시 상록구 성포동 593-11 경동프라자 지하 104호
프랜차이즈,전기구이한량통닭-안산점,경기도 안산시 상록구 성포동 592-2 안산현대1차아파트 상가 112동1층107호
프랜차이즈,장혁민의부대찌개-성포점,경기도 안산시 상록구 성포동 593-17 성포타운 2층 205호
프랜차이즈,라홍방마라탕-성포점,경기도 안산시 상록구 성포동 593-17 성포타운 1층 107호
프랜차이즈,천서방김밥-성포점,경기도 안산시 상록구 성포동 584-2 성포주공10단지 상가동 108호
프랜차이즈,세련대게-안산점,경기도 안산시 상록구 성포동 593-23 삼희프라자 1층
프랜차이즈,등촌샤브칼국수-안산1호점,경기도 안산시 상록구 성포동 583-5 예술프라자 583-5 예술프라자 207호
프랜차이즈,파리바게뜨-안산성포점,"경기도 안산시 상록구 성포동 592 선경상가 에이동 A동 101,136호"
프랜차이즈,맘스터치-안산성포점,"경기도 안산시 상록구 성포동 593-25 1층 105,106,111호"
프랜차이즈,배스킨라빈스-안산롯데마트점,경기도 안산시 상록구 성포동 590 590 롯데마트 F동 1층 일부
프랜차이즈,본죽앤비빔밥-안산성포동점,경기도 안산시 상록구 성포동 588-2 주공4단지아파트 상가동 종합상가 119호
프랜차이즈,파리바게뜨-안산예술인점,경기도 안산시 상록구 성포동 583-5 예술프라자 583-5 예술프라자 1층 106호
피자/양식,또띠아랑,경기도 안산시 상록구 성포동 593-11 경동프라자 지하 106호
중국집,단야-안산점,"경기도 안산시 상록구 성포동 593-17 성포타운 1층 105, 106호"
한식,안주가,경기도 안산시 상록구 성포동 747 안산파크 푸르지오 상가 112호
한식,모락모락설렁탕,"경기도 안산시 상록구 성포동 583 스타프라자 지하층 8호 9,9-2호"
한식,화산장터순대국밥,경기도 안산시 상록구 성포동 583-4 사이버스튜디오 103호
한식,약선당콩나물국밥,경기도 안산시 상록구 성포동 592 선경상가 에이동 지하14호(성포동)
한식,노적봉아구찜,경기도 안산시 상록구 성포동 583 예술인아파트 스타프라자 583 예술인아파트 스타프라자 4층 8호
한식,해솜맛집-안산점,경기도 안산시 상록구 성포동 593-11 경동프라자 593-11 경동프라자 3층 302호
한식,명가한식,"경기도 안산시 상록구 성포동 583 예술인아파트 스타프라자 583 예술인아파트 스타프라자 지하층 6,7호"
한식,명가우렁쌈밥,"경기도 안산시 상록구 성포동 583 예술인아파트 스타프라자 583 예술인아파트 스타프라자 지하층 6,7호"
한식,본가순댓국&국밥,"경기도 안산시 상록구 성포동 583 스타프라자 스타프라자 지하 2,3호"
한식,대박냉면-성포점,경기도 안산시 상록구 성포동 583-4 사이버스튜디오 1층 105호
일식/돈까스,오징어당,경기도 안산시 상록구 성포동 593-11 경동프라자 593-11 경동프라자 1층 102~103호
카페/디저트,아이미슈,경기도 안산시 상록구 성포동 583 스타프라자 예술인아파트 상가동 지하층 23호
