CTY_CD,CTY_NM,TIME_CD,FORN_GB,M_10_CNT,M_15_CNT,M_20_CNT,M_25_CNT,M_30_CNT,M_35_CNT,M_40_CNT,M_45_CNT,M_50_CNT,M_55_CNT,M_60_CNT,M_65_CNT,M_70_CNT,F_10_CNT,F_15_CNT,F_20_CNT,F_25_CNT,F_30_CNT,F_35_CNT,F_40_CNT,F_45_CNT,F_50_CNT,F_55_CNT,F_60_CNT,F_65_CNT,F_70_CNT,ETL_YMD
41273,안산시 단원구,22,내국인,857.02,2208.86,3370.71,3368.84,2590.18,2327.92,2504.42,2666.1,2826.51,2668.71,2241.34,1110.01,498.51,846.19,1664.93,2642.13,2698.98,1867.43,1348.32,1751.26,2187.75,2351.25,2018.93,1626.64,844.49,485.16,20220321
41273,안산시 단원구,4,외국인,3.83,11.06,160.49,380.07,525.26,514.53,290.46,233.48,218.15,174.91,114.83,54.92,16.63,3.42,10.23,84.88,164.76,192.76,237.05,202.64,147.96,162.81,142.32,101.04,63.78,15.32,20220319
41273,안산시 단원구,23,외국인,3.41,14.56,181.3,457.11,601.27,598.12,408.25,249.86,290.48,224.15,137.9,92.83,29.11,3.4,14.46,134.7,185.31,351.33,367.44,302.19,232.34,243.93,156.46,126.89,95.04,17.92,20220321
41273,안산시 단원구,4,내국인,567.06,954.46,1522.55,1675.14,1384.43,1207.37,1247.52,1410.27,1555.54,1534.22,1422.68,770.52,398.37,538.53,677.9,1225.57,1334.44,1038.15,781.63,944.54,1190.2,1302.47,1272.15,1108.35,621.96,398.61,20220328
41271,안산시 상록구,20,내국인,1070.49,2417.82,3235.35,3537.71,2409.15,2143.38,2489.08,2977.51,3376.55,3198.29,2517.12,1195.55,589.84,1191.06,1921.81,2902.2,2497.34,1727.63,1722.26,2053.41,2541.53,2863.77,2497.9,1852.86,910.25,479.11,20220308
41273,안산시 단원구,4,외국인,1.69,6.86,233.09,592.07,569.27,474.1,252.52,243.35,239.35,171.91,106.76,51.44,8.45,5.1,11.82,102.12,140.04,208.69,256.15,211.1,158.43,194.85,156.56,96.02,56.95,21.77,20220306
41271,안산시 상록구,2,내국인,385.94,688.63,1452.61,1608.26,1093.28,914.7,1127.18,1293.8,1421.79,1469.12,1247.07,614.03,319.8,455.9,619.65,1057.67,1204.8,841.59,860.29,1007.44,1114.22,1463.09,1198.97,1008.38,545.33,310.88,20220314
41271,안산시 상록구,14,외국인,8.63,63.34,484.96,116.6,199.46,164.9,138.98,110.07,101.77,68.49,68.3,60.25,10.26,13.69,51.37,472.02,138.66,164.7,160.73,156.02,93.99,82.02,77.2,99.57,64.86,18.8,20220318
41271,안산시 상록구,13,외국인,1.74,29.11,279.15,92.72,185.54,167.92,133.72,120.71,95.77,65.2,41.17,48.33,10.1,3.39,35.89,203.71,106.03,150.91,183.06,134.11,73.8,85.7,66.65,78.78,60.18,18.76,20220309
41273,안산시 단원구,3,외국인,7.21,8.53,138.94,386.1,435.41,339.44,226.45,209.18,176.22,152.25,100.78,38.65,11.46,3.39,6.91,48.9,102.17,150.67,211.41,170.43,155.46,142.49,135.22,97.51,58.82,17.84,20220314
41271,안산시 상록구,21,내국인,978.76,1823.75,3249.81,3466.13,2511.99,2423.77,2445.65,2885.71,3420.86,3361.02,2482.2,1132.0,551.88,1033.1,1640.54,2584.42,2737.46,2000.1,1696.87,2102.36,2471.75,2789.66,2324.22,1800.66,913.66,487.62,20220319
41273,안산시 단원구,14,내국인,2045.33,3505.98,4566.06,4562.46,3981.9,3926.94,4918.34,5445.81,6039.75,6003.5,5361.22,2732.87,1552.82,2081.51,2923.01,3498.23,4030.53,3250.83,2755.31,3364.38,4588.03,5479.6,4993.52,4039.24,2358.92,1226.53,20220328
41271,안산시 상록구,14,내국인,1934.99,3418.3,3835.03,2915.68,2097.54,1930.88,2307.53,2810.18,3229.74,3285.37,3095.64,1504.07,945.08,2056.22,3581.1,2986.8,2147.93,1708.39,1906.86,2467.29,2979.17,3627.19,3325.17,2918.68,1598.35,891.85,20220302
