가게명,주소
BHC-광명역점,"경기도 광명시 일직동 506-1 B동 101,102호"
청춘식당-광명점,경기도 광명시 일직동 512 유-플래닛 광명역 유-스트리트몰 에이-1동 에이113호
맘스터치-광명역점,"경기도 광명시 일직동 512-3 B동 1층 104, 105호"
인생아구찜-광명역점,경기도 광명시 일직동 518 광명역파크자이 상가동 107호
파스타입니다-광명역점,경기도 광명시 일직동 514 L1층 L028호
텐&텐만두,경기도 광명시 일직동 511 지웰에스테이트 1층 107호
써브웨이-광명일직점,경기도 광명시 일직동 512-3 어반브릭스B동 1층 106호
카츠린-광명점,"경기도 광명시 일직동 512-3 B동 248, 249호"
브런치빈-광명역점,경기도 광명시 일직동 512-3 B동 4층 417-423호
본도시락-광명역점,경기도 광명시 일직동 515 C동 1층 117호
고기극찬-광명점,경기도 광명시 일직동 509-1 광명역 효성 해링턴타워 The First 2층 202호
천년닭강정-광명점,경기도 광명시 일직동 512 유-플래닛 광명역 유-스트리트몰 A동 112호
한솥도시락-광명일직동점,경기도 광명시 일직동 510-13 1층 105호
천수냉면-광명직영점,경기도 광명시 일직동 512 유-플래닛 광명역 유-스트리트몰 제에이-1동 제지1층 제에이119호
두찜-광명역점,경기도 광명시 일직동 509-1 광명역 효성 해링턴타워 The First 2층 215호 216호
노랑통닭-광명이케아점,경기도 광명시 일직동 509-1 광명역 효성 해링턴타워 The First 509-1 광명역 효성 해링턴타워 The First 1층 108호
식물원김밥-일직점,경기도 광명시 일직동 514 지아이디씨 1층 1062호
도미노피자-광명일직점,"경기도 광명시 일직동 509-2 광명트리플타워오피스텔 509-2 트리플타워 1층 122,123호"
교촌치킨-광명역점,"경기도 광명시 일직동 511-5 대호엠스퀘어 511-5 GS steel Tower 1층 102, 103호"
파리바게뜨-광명역데시앙점,"경기도 광명시 일직동 512-3 어반브릭스B동 1층 170, 171호"
백종원의역전우동&덮밥-광명일직점,경기도 광명시 일직동 511 지웰에스테이트 1층 109호
튀긴치킨싫어서구운치킨만파는집-광명역점,경기도 광명시 일직동 510-7 1층 111호
요아정-광명역점,경기도 광명시 일직동 511 지웰에스테이트 105호
프랭크버거-광명역점,경기도 광명시 일직동 509-2 광명트리플타워오피스텔 1층 103호
피자스쿨-광명역점,경기도 광명시 일직동 512 유-플래닛 광명역 유-스트리트몰 에이1동 106호
파리바게뜨-광명역사점,경기도 광명시 일직동 276-1 고속철도 광명역 276-1 고속철도 광명역 1층
배스킨라빈스-광명역점,"경기도 광명시 일직동 511-5 대호엠스퀘어 1층 111호 (일직동,대호엠스퀘어)"
닭다리순살치킨만팬다-광명역점,경기도 광명시 일직동 510-7 1층 111호
춘리마라탕-광명KTX역점,"경기도 광명시 일직동 512-3 B동 2층 242,243호"
이름없는주막&광명닭강정,경기도 광명시 일직동 512 유-플래닛 광명역 유-스트리트몰 A-1동 113호
버거킹-광명역점,"경기도 광명시 일직동 511-5 대호엠스퀘어 1층 108,109,110호"
또래오래-광명역점,경기도 광명시 일직동 518 광명역파크자이 제상가동 201호
치즈를사랑한찜닭-광명점,경기도 광명시 일직동 514 C동 L069호
이삭토스트-광명어반브릭스점,경기도 광명시 일직동 512-3 B동 1층 136호
화락바베큐치킨-광명역점,경기도 광명시 일직동 510-7 에스-프라자 신축공사 제1층 제111호
달리는커피-일직점,경기도 광명시 일직동 501-4 121호
오슬로우-광명지아이디씨점,경기도 광명시 일직동 514 GIDC 지1층 L074호
본죽앤비빔밥-광명역점,경기도 광명시 일직동 511 지웰에스테이트 1층 103호
요거트월드-광명역점,경기도 광명시 일직동 512 유-플래닛 광명역 유-스트리트몰 A-1동 지1층 A134호
입천장안까지는닭강정집-광명역점,경기도 광명시 일직동 510-7 1층 111호
돈통마늘보쌈-광명이케아점,경기도 광명시 일직동 509-1 광명역 효성 해링턴타워 The First 2층 233호
처비핑거스,경기도 광명시 일직동 503-2 1층 101호
코이커피,경기도 광명시 일직동 501-4 6층 627호(일직동)
우이맛마라탕-광명역점,경기도 광명시 일직동 512-3 유-플랫닛 어반브릭스 B동 2층 263호
BRsingles-광명역점,"경기도 광명시 일직동 511-5 대호엠스퀘어 1층 111호 (일직동,대호엠스퀘어)"
